"Carimbo de data/hora","Em que período você se encontra?","Que curso você faz?","Em que campus você estuda?","Você acredita que as vagas ofertadas no RAE foram suficientes?","Com relação às disciplinas que queria cursar, você conseguiu se matricular em:","No geral, você acha o RAE:","Você acredita que o seu desempenho no RAE, em comparação com o presencial:","Na sua opinião, a qualidade do ensino no RAE, em comparação com o presencial, é:","Você acredita que o RAE afetou sua saúde mental para:","No que diz respeito a dificuldades técnicas (queda de internet ou energia, indisponibilidade de equipamento etc), você passa por elas:","Na sua opinião, os professores são tolerantes com imprevistos que impossibilitem a realização de atividades?","No geral, você acha que essas dificuldades prejudicam o seu desempenho?","Em geral, você acha que a atuação dos professores no RAE é/está sendo:","Na sua experiência, o atendimento individual dos professores aos alunos está sendo:","Na sua opinião, em comparação com o regime presencial, no RAE os professores estão:","No geral, em comparação com o regime presencial, você acha que o volume de atividades exigidas no RAE é:","Você julga esse volume de atividades abusivo?","Como você avalia a atuação da UFCG diante da pandemia?","Como você avalia o desempenho da coordenação do seu curso no atendimento e suporte aos estudantes no RAE?"
"2020/10/27 8:59:42 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Melhorou","Igual","Melhor","Raramente","Não","Não passo por essas dificuldades","Ruim","Insuficiente","Tão exigentes quanto","Igual","Não","Péssima","Ruim"
"2020/10/27 9:00:35 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Não sei/Não quero responder","Não passo por essas dificuldades","Péssima","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Não sei/Não quero responder"
"2020/10/27 9:00:51 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Melhorou","Igual","Não afetou","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Não","Ruim","Regular"
"2020/10/27 9:02:45 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Melhor","Melhor","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Igual","Não","Boa","Bom"
"2020/10/27 9:11:02 AM GMT-3","2","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Excelente","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"2020/10/27 9:12:35 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Melhorou","Pior","Pior","Raramente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"2020/10/27 9:13:25 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Piorou","Igual","Não afetou","Raramente","Sim","Sim","Excelente","Insuficiente","Tão exigentes quanto","Maior","Não","Boa","Excelente"
"2020/10/27 9:16:27 AM GMT-3","9","Ciências Biológicas","Cajazeiras","Sim","Todas","Bom","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não sei/Não quero responder","Boa","Bom"
"2020/10/27 9:17:53 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Melhorou","Igual","Não afetou","Raramente","Não","Nao","Razoável","Razoável","Mais exigentes","Maior","Não","Regular","Bom"
"2020/10/27 9:21:27 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Não mudou","Pior","Melhor","Raramente","Não","Nao","Razoável","Razoável","Tão exigentes quanto","Maior","Não","Ruim","Não sei/Não quero responder"
"2020/10/27 9:22:24 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Nao","Razoável","Razoável","Menos exigentes","Muito maior","Não sei/Não quero responder","Péssima","Bom"
"2020/10/27 9:28:09 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Todas","Bom","Melhorou","Pior","Melhor","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Excelente"
"2020/10/27 9:30:01 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Ruim","Inexistente","Mais exigentes","Maior","Sim","Regular","Bom"
