"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"686","2020/11/05 12:50:03 PM GMT-3","5","Engenharia Civil","Pombal","Não","Algumas","Péssimo","Piorou","Pior","Pior","Nunca","Sim","Sim","Razoável","Bom","Tão exigentes quanto","Igual","Não","Péssima","Regular"
"687","2020/11/05 12:50:23 PM GMT-3","7","Engenharia de Alimentos","Pombal","Sim","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Não","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Regular","Bom"
"688","2020/11/05 12:50:34 PM GMT-3","3","Engenharia Civil","Pombal","Sim","Todas","Razoável","Melhorou","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Sim","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Boa","Excelente"
"689","2020/11/05 12:50:41 PM GMT-3","6","Engenharia Civil","Pombal","Não","Nenhuma","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Ruim","Bom"
"690","2020/11/05 12:50:42 PM GMT-3","4","Engenharia Civil","Pombal","Não","Algumas","Bom","Melhorou","Não sei/Não quero responder","Pior","Frequentemente","Não","Sim","Boa","Excelente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"691","2020/11/05 12:50:45 PM GMT-3","5","Engenharia Civil","Pombal","Não","Algumas","Ruim","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"692","2020/11/05 12:50:49 PM GMT-3","5","Engenharia Civil","Pombal","Sim","Todas","Péssimo","Piorou","Pior","Pior","Nunca","Sim","Não passo por essas dificuldades","Razoável","Razoável","Menos exigentes","Muito maior","Sim","Ruim","Excelente"
"694","2020/11/05 12:50:59 PM GMT-3","8","Engenharia Civil","Pombal","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Maior","Sim","Ruim","Bom"
"695","2020/11/05 12:51:18 PM GMT-3","3","Engenharia Civil","Pombal","Não","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"696","2020/11/05 12:51:20 PM GMT-3","6","Engenharia Civil","Pombal","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"697","2020/11/05 12:51:30 PM GMT-3","10","Engenharia Civil","Pombal","Não","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Não sei/Não quero responder","Nao","Razoável","Bom","Mais exigentes","Maior","Sim","Regular","Excelente"
"698","2020/11/05 12:51:47 PM GMT-3","7","Engenharia Civil","Pombal","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Inexistente","Tão exigentes quanto","Muito maior","Sim","Ruim","Excelente"
"699","2020/11/05 12:52:08 PM GMT-3","8","Engenharia Civil","Pombal","Não sei/Não quero responder","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"700","2020/11/05 12:52:38 PM GMT-3","9","Engenharia Civil","Pombal","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Não sei/Não quero responder","Mais exigentes","Muito maior","Sim","Regular","Bom"
"702","2020/11/05 12:53:11 PM GMT-3","8","Engenharia Civil","Pombal","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Menor","Não","Regular","Bom"
"703","2020/11/05 12:53:17 PM GMT-3","9","Engenharia Civil","Pombal","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Boa","Excelente"
"704","2020/11/05 12:53:51 PM GMT-3","8","Engenharia Ambiental","Pombal","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Não sei/Não quero responder","Ruim","Regular"
"705","2020/11/05 12:53:55 PM GMT-3","3","Engenharia Civil","Pombal","Sim","Algumas","Razoável","Não mudou","Não sei/Não quero responder","Não afetou","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Bom"
"706","2020/11/05 12:53:58 PM GMT-3","3","Engenharia Civil","Pombal","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Não","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Boa","Regular"
"707","2020/11/05 12:54:14 PM GMT-3","4","Engenharia Civil","Pombal","Sim","Algumas","Bom","Não sei/Não quero responder","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Razoável","Razoável","Não sei/Não quero responder","Maior","Não","Boa","Excelente"
"708","2020/11/05 12:54:15 PM GMT-3","3","Engenharia Civil","Pombal","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Não sei/Não quero responder","Regular","Regular"
"709","2020/11/05 12:54:27 PM GMT-3","7","Engenharia Civil","Pombal","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"710","2020/11/05 12:54:33 PM GMT-3","7","Engenharia Ambiental","Pombal","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"712","2020/11/05 12:55:07 PM GMT-3","8","Engenharia Ambiental","Pombal","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Nao","Boa","Razoável","Mais exigentes","Muito maior","Sim","Boa","Bom"
"713","2020/11/05 12:55:09 PM GMT-3","9","Engenharia Civil","Pombal","Sim","Todas","Razoável","Piorou","Pior","Pior","Nunca","Sim","Sim","Excelente","Bom","Mais exigentes","Muito maior","Não","Regular","Excelente"
"714","2020/11/05 12:55:15 PM GMT-3","3","Engenharia Civil","Pombal","Sim","Todas","Razoável","Piorou","Igual","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Sim","Ruim","Regular"
